"","data.origin","country","season","lon","lat","site","trans","unique_trans_id","protection","enforcement","total.mpa.ha","size.notake","yr.creation","age.reserve.yr","depth","tmean","sal_mean","pp_mean","species","sp.n","sp.length","family","exotic","FoodTroph","FoodSeTroph","a","b"
"1","azz_asi","Italy","autumn",8.195,41.825,"asinara_add",127,"asinara_add127819541825NA",TRUE,"2",15000,15000,"2002","1",NA,18.6609992980957,37.831335,0.000415,"Symphodus.tinca",1,6,"Labridae",FALSE,3.23000001907349,0.4242,0.0196033333333333,2.89215833333333
"2","Belmaker","Israel","spring",34.86692,32.41672,"gdor",1878,"gdor1878348669232416725",TRUE,"2",84.4,84.4,"2004","13",5,22.863000869751,38.687543,0.00962,"Thalassoma.pavo",20,6,"Labridae",FALSE,3.5,0.47,NA,NA
"3","Belmaker","Israel","autumn",34.94961,32.81962,"shikmona",1732,"shikmona17323494961328196210",TRUE,"2",167.7,167.7,"2008","9",10,22.7999992370605,38.824692,0.006209,"Thalassoma.pavo",7,8,"Labridae",FALSE,3.5,0.47,NA,NA
"4","Belmaker","Israel","spring",35.07617,33.04638,"achziv",1547,"achziv154735076173304638264",TRUE,"3",1000,1000,"1968","49",26.4,22.8369998931885,38.875026,0.006697,"Siganus.luridus",5,15,"Siganidae",TRUE,2.17000007629395,0.1038,0.0195971428571429,2.927
"5","Belmaker","Israel","autumn",34.86692,32.41672,"gdor",1621,"gdor16213486692324167210",FALSE,"0",84.4,84.4,"2004","13",10,22.863000869751,38.687543,0.00962,"Gobius.bucchichi",1,10,"Gobiidae",FALSE,3.1,0.4,NA,NA
"6","Belmaker","Italy","summer",13.15419,38.71068,"ustica",2273,"ustica227313154193871068NA",TRUE,"2",15.951,600,"1986","32",NA,19.9820003509521,37.696102,0.000501,"Symphodus.tinca",1,20,"Labridae",FALSE,3.23000001907349,0.4242,0.0196033333333333,2.89215833333333
"7","Belmaker","Israel","autumn",34.94961,32.81962,"shikmona",1988,"shikmona1988349496132819624",FALSE,"0",167.7,167.7,"2008","9",4,22.7999992370605,38.824692,0.006209,"Coris.julis",2,8,"Labridae",FALSE,3.24000000953674,0.4291,0.00729875,3.160375
"8","Belmaker","Italy","summer",12.77276,38.15865,"san_vito",2346,"san_vito234612772763815865NA",FALSE,"0",NA,NA,"1986","32",NA,20.0919990539551,37.649248,0.000626,"Diplodus.sargus",1,15,"Sparidae",FALSE,3.24,0.46,0.016934347826087,3.03934347826087
"9","Sala - PEW","Italy","summer",9.158,44.315,"portofino",1454,"portofino145491584431510",TRUE,"3",346,18,"1998","9",10,18.8449993133545,38.100254,0.000375,"Diplodus.sargus",1,23,"Sparidae",FALSE,3.24,0.46,0.016934347826087,3.03934347826087
"10","azz_malt","Malta","autumn",14.515,35.906,"malta",381,"malta38114515359062",FALSE,"0",NA,NA,NA,NA,2,20.6599998474121,37.724669,0.000622,"Tripterygion.tripteronotus",1,3,"Tripterygiidae",FALSE,NA,NA,NA,NA
"11","azz_malt","Italy","autumn",12.604,35.526,"lampedusa",290,"lampedusa290126043552655",TRUE,"1",NA,NA,"2002","5",5.5,20.423999786377,37.541306,0.000539,"Sarpa.salpa",5,8,"Sparidae",FALSE,2.14,0.14,0.0140338888888889,3.04194444444444
"12","Belmaker","Israel","spring",35.07617,33.04638,"achziv",1561,"achziv15613507617330463845",FALSE,"0",1000,1000,"1968","49",4.5,22.8369998931885,38.875026,0.006697,"Tripterygion.melanurus",1,4,"Tripterygiidae",FALSE,3.5,0.37,NA,NA
"13","Sala - PEW","Italy","summer",15.544,42.227,"tremiti",1497,"tremiti1497155444222710",TRUE,"1",1466,180,"1989","19",10,18.5659999847412,37.723742,0.000709,"Diplodus.puntazzo",1,23,"Sparidae",FALSE,3.07,0.39,0.0233777777777778,2.92497777777778
"14","Belmaker","Israel","autumn",34.94961,32.81962,"shikmona",1713,"shikmona171334949613281962175",FALSE,"0",167.7,167.7,"2008","9",17.5,22.7999992370605,38.824692,0.006209,"Sargocentron.rubrum",5,15,"Holocentridae",TRUE,3.71,0.59,0.0303033333333333,2.91466666666667
"15","Belmaker","France","summer",3.166758,42.47317,"south_of_cape_bear",2372,"south_of_cape_bear237231667584247317NA",FALSE,"0",650,NA,"1962","55",NA,16.7929992675781,37.67382,0.0032,"Symphodus.ocellatus",1,5,"Labridae",FALSE,3.33999991416931,0.4176,0.014578,3.19694
"16","Belmaker","Croatia","summer",17.33153,42.77223,"miljet",2191,"miljet219117331534277223NA",TRUE,"1",2375,2651,"1960","57",NA,18.7849998474121,38.400873,0.004444,"Symphodus.tinca",1,17,"Labridae",FALSE,3.23000001907349,0.4242,0.0196033333333333,2.89215833333333
"17","Belmaker","Israel","spring",34.86692,32.41672,"gdor",1846,"gdor18463486692324167227",TRUE,"2",84.4,84.4,"2004","13",2.7,22.863000869751,38.687543,0.00962,"Diplodus.sargus",2,20,"Sparidae",FALSE,3.24,0.46,0.016934347826087,3.03934347826087
"18","Sala - PEW","Greece","summer",24.615,36.754,"kimolos",1326,"kimolos1326246153675410",FALSE,"0",NA,NA,NA,NA,10,19.5249996185303,37.74746,0.000597,"Symphodus.tinca",2,13,"Labridae",FALSE,3.23000001907349,0.4242,0.0196033333333333,2.89215833333333
"19","Sala - PEW","Turkey","summer",30.487,36.388,"adrasan",1002,"adrasan1002304873638810",FALSE,"0",NA,NA,NA,NA,10,22.3540000915527,39.229409,0.003752,"Diplodus.sargus",2,13,"Sparidae",FALSE,3.24,0.46,0.016934347826087,3.03934347826087
"20","Belmaker","France","summer",3.166758,42.47317,"1_km_south_of_the_marina",2388,"1_km_south_of_the_marina238831667584247317NA",TRUE,"3",650,NA,"1962","55",NA,16.7929992675781,37.67382,0.0032,"Coris.julis",5,10,"Labridae",FALSE,3.24000000953674,0.4291,0.00729875,3.160375
"21","Belmaker","Israel","spring",34.91514,32.61921,"habonim",1752,"habonim17523491514326192135",FALSE,"0",519.2,519.2,"2002","15",3.5,22.9969997406006,38.774464,0.006366,"Thalassoma.pavo",2,10,"Labridae",FALSE,3.5,0.47,NA,NA
"22","Belmaker","Israel","autumn",35.07617,33.04638,"achziv",1672,"achziv16723507617330463812",FALSE,"0",1000,1000,"1968","49",12,22.8369998931885,38.875026,0.006697,"Thalassoma.pavo",1,12,"Labridae",FALSE,3.5,0.47,NA,NA
"23","Belmaker","Greece","autumn",25.02150683,35.41495036,"assecret2010192",2,"assecret2010192225021506833541495036114",FALSE,"0",NA,NA,NA,NA,11.4,20.3239994049072,38.576025,0.000588,"Thalassoma.pavo",6,8,"Labridae",FALSE,3.5,0.47,NA,NA
"24","azz_asi","Italy","autumn",8.349,41.091,"asinara",170,"asinara17083494109110",TRUE,"2",15000,15000,"2002","1",10,18.6459999084473,37.79304,0.00049,"Chromis.chromis",60,NA,"Pomacentridae",FALSE,3.38,0.41,0.02261625,2.890925
